Index,Field,Value
1.1.1.1,organic_price,n/a
1.1.1.2,organic_rating,
1.1.1.3,organic_rating_count,"2,784"
1.1.1.4,organic_title,Under Armour Unisex Child Grade School Assert 9 Running Shoe
1.1.2.1,organic_price,n/a
1.1.2.2,organic_rating,
1.1.2.3,organic_rating_count,"5,551"
1.1.2.4,organic_title,Under Armour Women's Charged Assert 9 Running Shoe
1.1.3.1,organic_price,
1.1.3.2,organic_rating,
1.1.3.3,organic_rating_count,"9,562"
1.1.3.4,organic_title,Clarks Men's Tilden Cap Oxford Shoe
1.1.4.1,organic_price,n/a
1.1.4.2,organic_rating,
1.1.4.3,organic_rating_count,"18,895"
1.1.4.4,organic_title,Rockport Men's Eureka Walking Shoe
1.1.5.1,organic_price,n/a
1.1.5.2,organic_rating,
1.1.5.3,organic_rating_count,"11,813"
1.1.5.4,organic_title,adidas Women's Puremotion Adapt Running Shoe
1.1.6.1,organic_price,n/a
1.1.6.2,organic_rating,
1.1.6.3,organic_rating_count,"11,390"
1.1.6.4,organic_title,adidas Men's Lite Racer Adapt 3.0 Running Shoe
1.1.7.1,organic_price,n/a
1.1.7.2,organic_rating,
1.1.7.3,organic_rating_count,"4,992"
1.1.7.4,organic_title,New Balance Kid's Fresh Foam Arishi V2 Bungee Running Shoe
1.1.8.1,organic_price,n/a
1.1.8.2,organic_rating,
1.1.8.3,organic_rating_count,"3,442"
1.1.8.4,organic_title,New Balance Kid's 888 V2 Hook and Loop Running Shoe
1.1.9.1,organic_price,n/a
1.1.9.2,organic_rating,
1.1.9.3,organic_rating_count,"6,269"
1.1.9.4,organic_title,Reebok Women's Classic Harman Run Sneaker
1.1.10.1,organic_price,
1.1.10.2,organic_rating,
1.1.10.3,organic_rating_count,"6,136"
1.1.10.4,organic_title,New Balance Men's Fresh Foam Arishi V3 Running Shoe
1.1.11.1,organic_price,
1.1.11.2,organic_rating,
1.1.11.3,organic_rating_count,"8,599"
1.1.11.4,organic_title,Clarks Men's Tilden Walk Oxford
1.1.12.1,organic_price,n/a
1.1.12.2,organic_rating,
1.1.12.3,organic_rating_count,"25,380"
1.1.12.4,organic_title,Nike Men's Air Monarch IV Cross Trainer
1.1.13.1,organic_price,n/a
1.1.13.2,organic_rating,
1.1.13.3,organic_rating_count,"7,386"
1.1.13.4,organic_title,Nike Men's Court Vision Low Sneaker
1.1.14.1,organic_price,n/a
1.1.14.2,organic_rating,
1.1.14.3,organic_rating_count,"26,622"
1.1.14.4,organic_title,adidas Men's Tech Response Golf Shoes
1.1.15.1,organic_price,
1.1.15.2,organic_rating,
1.1.15.3,organic_rating_count,"4,301"
1.1.15.4,organic_title,New Balance Men's 510 V5 Trail Running Shoe
1.1.16.1,organic_price,n/a
1.1.16.2,organic_rating,
1.1.16.3,organic_rating_count,"7,925"
1.1.16.4,organic_title,Reebok Men's Club MEMT Casual Sneakers
1.1.17.1,organic_price,
1.1.17.2,organic_rating,
1.1.17.3,organic_rating_count,"3,364"
1.1.17.4,organic_title,adidas Men's Kaptir 2.0 Running Shoe
1.1.18.1,organic_price,n/a
1.1.18.2,organic_rating,
