Index,Field,Value
1.1.1.1,organic_price,n/a
1.1.1.2,organic_rating,
1.1.1.3,organic_rating_count,"17,519"
1.1.1.4,organic_title,Under Armour Men's Charged Assert 9 Running Shoe
1.1.2.1,organic_price,n/a
1.1.2.2,organic_rating,
1.1.2.3,organic_rating_count,837
1.1.2.4,organic_title,adidas Men's Lite Racer Adapt 4.0 Running Shoe
1.1.3.1,organic_price,n/a
1.1.3.2,organic_rating,
1.1.3.3,organic_rating_count,"4,724"
1.1.3.4,organic_title,Steve Madden Men's Fenta Fashion Sneaker
1.1.4.1,organic_price,n/a
1.1.4.2,organic_rating,
1.1.4.3,organic_rating_count,"5,634"
1.1.4.4,organic_title,Reebok Men's Workout Plus Sneaker
1.1.5.1,organic_price,n/a
1.1.5.2,organic_rating,
1.1.5.3,organic_rating_count,"2,567"
1.1.5.4,organic_title,Sperry Men's Striper II CVO Washable Sneaker
1.1.6.1,organic_price,n/a
1.1.6.2,organic_rating,
1.1.6.3,organic_rating_count,"2,061"
1.1.6.4,organic_title,Sperry Men's STRIPER II CVO Core Sneaker
1.1.7.1,organic_price,n/a
1.1.7.2,organic_rating,
1.1.7.3,organic_rating_count,841
1.1.7.4,organic_title,adidas Men's Lite Racer Adapt 4.0 Trail Running Shoe
1.1.8.1,organic_price,
1.1.8.2,organic_rating,
1.1.8.3,organic_rating_count,"9,971"
1.1.8.4,organic_title,Fila Men's Transition Athletic Sandal
1.1.9.1,organic_price,n/a
1.1.9.2,organic_rating,
1.1.9.3,organic_rating_count,644
1.1.9.4,organic_title,adidas Women's Racer TR21 Running Shoe
1.1.10.1,organic_price,n/a
1.1.10.2,organic_rating,
1.1.10.3,organic_rating_count,"4,750"
1.1.10.4,organic_title,Brooks Women's Glycerin 19 Neutral Running Shoe
1.1.11.1,organic_price,
1.1.11.2,organic_rating,
1.1.11.3,organic_rating_count,"2,755"
1.1.11.4,organic_title,Rockport Men's Rock Cove Walking Sneaker
1.1.12.1,organic_price,n/a
1.1.12.2,organic_rating,
1.1.12.3,organic_rating_count,"1,619"
1.1.12.4,organic_title,adidas Men's Lite Racer BYD 2.0 Running Shoe
1.1.13.1,organic_price,n/a
1.1.13.2,organic_rating,
1.1.13.3,organic_rating_count,447
1.1.13.4,organic_title,Columbia Men's Flow Centre Sneaker
1.1.14.1,organic_price,
1.1.14.2,organic_rating,
1.1.14.3,organic_rating_count,"2,852"
1.1.14.4,organic_title,PUMA Unisex-Adult Axelion Cross-Trainer
1.1.15.1,organic_price,n/a
1.1.15.2,organic_rating,
1.1.15.3,organic_rating_count,"4,817"
1.1.15.4,organic_title,adidas Men's Lite Racer Adapt 4.0 Running Shoes
1.1.16.1,organic_price,n/a
1.1.16.2,organic_rating,
1.1.16.3,organic_rating_count,"5,609"
1.1.16.4,organic_title,Under Armour Women's Charged Assert 9 Running Shoe
1.1.17.1,organic_price,n/a
1.1.17.2,organic_rating,
1.1.17.3,organic_rating_count,"8,411"
1.1.17.4,organic_title,adidas Men's Daily 3.0 Skate Shoe
1.1.18.1,organic_price,
1.1.18.2,organic_rating,
