Index,Field,Value
1.0.0.0,organic_price,n/a
1.0.0.1,organic_rating,
1.0.0.2,organic_rating_count,"17,256"
1.0.0.3,organic_title,Under Armour Men's Charged Assert 9 Running Shoe
1.0.1.0,organic_price,n/a
1.0.1.1,organic_rating,
1.0.1.2,organic_rating_count,"1,082"
1.0.1.3,organic_title,Florsheim Men's Medfield Plain Toe Oxford Dress Shoe
1.0.2.0,organic_price,
1.0.2.1,organic_rating,
1.0.2.2,organic_rating_count,4
1.0.2.3,organic_title,Naot Footwear Women's Vivian Sandal
1.0.3.0,organic_price,
1.0.3.1,organic_rating,
1.0.3.2,organic_rating_count,"3,364"
1.0.3.3,organic_title,adidas Men's Kaptir 2.0 Running Shoe
1.0.4.0,organic_price,n/a
1.0.4.1,organic_rating,
1.0.4.2,organic_rating_count,"5,549"
1.0.4.3,organic_title,Under Armour Women's Charged Assert 9 Running Shoe
1.0.5.0,organic_price,n/a
1.0.5.1,organic_rating,
1.0.5.2,organic_rating_count,"10,742"
1.0.5.3,organic_title,Columbia Womens Newton Ridge Plus Waterproof Amped Hiking Shoe
1.0.6.0,organic_price,n/a
1.0.6.1,organic_rating,
1.0.6.2,organic_rating_count,726
1.0.6.3,organic_title,adidas Men's Codechaos 21 Primeblue Spikeless Golf Shoes
1.0.7.0,organic_price,n/a
1.0.7.1,organic_rating,
1.0.7.2,organic_rating_count,"9,562"
1.0.7.3,organic_title,Clarks Men's Tilden Cap Oxford Shoe
1.0.8.0,organic_price,n/a
1.0.8.1,organic_rating,
1.0.8.2,organic_rating_count,940
1.0.8.3,organic_title,"Fizik Tempo Overcurve R5, Unisex Cycling Shoe"
1.0.9.0,organic_price,n/a
1.0.9.1,organic_rating,
1.0.9.2,organic_rating_count,"5,061"
1.0.9.3,organic_title,Skechers Men's Go Max Clinched-Athletic Mesh Double Gore Slip on Walking Shoe
1.0.10.0,organic_price,n/a
1.0.10.1,organic_rating,
1.0.10.2,organic_rating_count,19
1.0.10.3,organic_title,Under Armour Women's Charged Verssert Running Shoe
1.0.11.0,organic_price,n/a
1.0.11.1,organic_rating,
1.0.11.2,organic_rating_count,"2,930"
1.0.11.3,organic_title,Cole Haan Men's 2.Zerogrand Laser Wing Oxford
1.0.12.0,organic_price,
1.0.12.1,organic_rating,
1.0.12.2,organic_rating_count,637
1.0.12.3,organic_title,PUMA Men's Ignite Fasten8 Golf Shoe
1.0.13.0,organic_price,n/a
1.0.13.1,organic_rating,
1.0.13.2,organic_rating_count,528
1.0.13.3,organic_title,TOMS Women's Alpargata Recycled Cotton Canvas Loafer Flat
1.0.14.0,organic_price,n/a
1.0.14.1,organic_rating,
1.0.14.2,organic_rating_count,21
1.0.14.3,organic_title,Under Armour Men's Charged Impulse 2 Knit Road Running Shoe
1.0.15.0,organic_price,
1.0.15.1,organic_rating,
